item_id,title,genres,directors,cast,vote_average,vote_count,popularity,is_trending,overview,language,imdb_id,tmdb_id,movielens_id,language_code,region,release_date,year
1257960,Sikandar,Action|Drama,A.R. Murugadoss,Salman Khan|Rashmika Mandanna|Sathyaraj|Sharman Joshi|Prateik Smita Patil,4.923,52,54.1654,1,A tragic accident pushes the powerful Sikandar to protect the less fortunate by standing up to corruption and greed — using any means necessary.,Hindi,tt31712434,1257960,,hi,India,2025-03-29,2025
1225915,Jewel Thief - The Heist Begins,Action|Thriller,Robby Grewal|Kookie Gulati,Saif Ali Khan|Jaideep Ahlawat|Nikita Dutta|Kunal Kapoor|Kulbhushan Kharbanda,6.81,63,44.2599,1,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",Hindi,tt27843798,1225915,,hi,India,2025-04-24,2025
1306845,Jaat,Action|Crime|Drama,Gopichand Malineni,Sunny Deol|Randeep Hooda|Saiyami Kher|Regina Cassandra|Vineet Kumar Singh,5.559,17,10.8657,0,"A mysterious stranger journeys to a remote town controlled by a callous crime lord, with one violent mission — restoring justice to its people.",Hindi,tt32223398,1306845,,hi,India,2025-04-10,2025
1143407,Sky Force,Action|Thriller|War|History,Abhishek Kapur|Sandeep Kewlani,Veer Pahariya|Akshay Kumar|Nimrat Kaur|Sara Ali Khan|Sharad Kelkar,6.4,34,9.6911,0,"In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.",Hindi,tt27056066,1143407,,hi,India,2025-01-24,2025
1195430,Deva,Action|Thriller|Mystery|Crime,Rosshan Andrrews,Shahid Kapoor|Pooja Hegde|Pavail Gulati|Pravessh Rana|Girish Kulkarni,5.922,51,9.7984,0,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",Hindi,tt27852049,1195430,,hi,India,2025-01-31,2025
1146210,Housefull 5,Comedy|Mystery|Thriller,Tarun Mansukhani,Akshay Kumar|Riteish Deshmukh|Abhishek Bachchan|Jacqueline Fernandez|Nargis Fakhri,5.8,5,9.6984,0,"A father writes his will — his son ""Jolly"" is going to get it all. But who is Jolly? The comedy unfolds as different people pose as the ""real"" Jolly on a cruise celebrating the father's birthday — where a murder takes place.",Hindi,tt9104736,1146210,,hi,India,2025-06-05,2025
19404,Dilwale Dulhania Le Jayenge,Comedy|Drama|Romance,Aditya Chopra,Kajol|Shah Rukh Khan|Amrish Puri|Farida Jalal|Anupam Kher,8.517,4491,8.9205,0,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",Hindi,tt0112870,19404,,hi,India,1995-10-20,1995
1160018,Kill,Action|Crime|Thriller|Drama,Nikhil Nagesh Bhat,Lakshya Lalwani|Raghav Juyal|Tanya Maniktala|Ashish Vidhyarthi|Abhishek Chauhan,7.164,382,8.3903,0,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",Hindi,tt28259207,1160018,,hi,India,2024-07-03,2024
1156202,Stolen,Drama|Thriller,Karan Tejpal,Abhishek Banerjee|Shubham Vardhan|Mia Maelzer|Harish Khanna|Sahidur Rahaman,7.3,10,6.0423,0,"The five-month-old baby of impoverished tribal woman Jhumpa Mahato is stolen. Two brothers, Gautam and Raman, who witness the kidnapping, try to help her and become embroiled in the complexities of the investigation.",Hindi,tt28494851,1156202,,hi,India,2023-08-02,2023
1201012,Dhoom Dhaam,Comedy|Romance|Action,Rishab Seth,Yami Gautam|Pratik Gandhi|Eijaz Khan|Mukul Chadda|Pavitra Sarkar,6.798,47,6.9953,0,"On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",Hindi,tt21194868,1201012,,hi,India,2025-02-13,2025
20453,3 Idiots,Drama|Comedy,Rajkumar Hirani,Aamir Khan|R. Madhavan|Sharman Joshi|Kareena Kapoor Khan|Boman Irani,7.997,2491,6.5527,0,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",Hindi,tt1187043,20453,,hi,India,2009-12-23,2009
1163258,12th Fail,Drama,Vidhu Vinod Chopra,Vikrant Massey|Medha Shankr|Anant Joshi|Anshumaan Pushkar|Priyanshu Chatterjee,7.961,166,6.1663,0,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",Hindi,tt23849204,1163258,,hi,India,2023-08-11,2023
781732,Animal,Action|Crime|Drama,Sandeep Reddy Vanga,Ranbir Kapoor|Rashmika Mandanna|Anil Kapoor|Bobby Deol|Triptii Dimri,6.271,146,5.9365,0,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,Hindi,tt13751694,781732,,hi,India,2023-12-01,2023
11518,Mohabbatein,Drama|Romance,Aditya Chopra,Amitabh Bachchan|Shah Rukh Khan|Uday Chopra|Jugal Hansraj|Jimmy Shergill,7.0,256,6.2732,0,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.",Hindi,tt0213890,11518,,hi,India,2000-10-27,2000
538858,Tumbbad,Fantasy|Horror,Rahi Anil Barve,Sohum Shah|Mohammad Samad|Harsh K.|Jyoti Malshe|Dhundiraj Prabhakar Jogalekar,7.524,274,5.5029,0,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",Hindi,tt8239946,538858,,hi,India,2018-10-12,2018
1301632,Bhool Chuk Maaf,Comedy|Romance|Science Fiction,Karan Shrikant Sharma,Rajkummar Rao|Wamiqa Gabbi|Raghubir Yadav|Seema Pahwa|Zakir Hussain,6.3,8,5.4262,0,"Ranjan, a small-town romantic boy from Banaras, lands a government job to marry Titli, but forgets to vow to Lord Shiva, causing him to be trapped in a time loop. A tale of love, fate, and redemption unfolds, as Ranjan tries to end the loop and get married.",Hindi,tt32058735,1301632,,hi,India,2025-05-23,2025
1190511,Sitaare Zameen Par,Comedy|Drama,R. S. Prasanna,Aamir Khan|Genelia D'Souza|Soren Fulton|Suresh Menon|Karim Hajee,8.0,2,12.2386,0,"A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled, and soon realizes they just might have what it takes to make it to the national championships.",Hindi,tt29471573,1190511,,hi,India,2025-06-20,2025
872906,Jawan,Action|Crime|Thriller,Atlee,Shah Rukh Khan|Nayanthara|Vijay Sethupathi|Deepika Padukone|Sanjay Dutt,7.111,280,7.3583,0,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",Hindi,tt15354916,872906,,hi,India,2023-09-07,2023
1045931,Crew,Comedy|Drama,Rajesh Krishnan,Tabu|Kareena Kapoor Khan|Kriti Sanon|Diljit Dosanjh|Rajesh Sharma,6.9,53,6.3434,0,Three ordinary air hostesses from Mumbai embark on a journey to pursue their dreams but find themselves caught up in unexpected misfortunes.,Hindi,tt21383812,1045931,,hi,India,2024-03-29,2024
7508,Like Stars on Earth,Drama,Aamir Khan,Darsheel Safary|Aamir Khan|Tisca Chopra|Tanay Chheda|Vipin Sharma,7.974,1210,6.2143,0,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",Hindi,tt0986264,7508,,hi,India,2007-12-21,2007
538858,Tumbbad,Fantasy|Horror,Rahi Anil Barve,Sohum Shah|Mohammad Samad|Harsh K.|Jyoti Malshe|Dhundiraj Prabhakar Jogalekar,7.524,274,5.5029,0,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",Hindi,tt8239946,538858,,hi,India,2018-10-12,2018
376812,Sultan,Drama|Action|Romance,Ali Abbas Zafar,Salman Khan|Anushka Sharma|Randeep Hooda|Amit Sadh|Kumud Mishra,6.883,235,5.4986,0,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",Hindi,tt4832640,376812,,hi,India,2016-07-06,2016
1301632,Bhool Chuk Maaf,Comedy|Romance|Science Fiction,Karan Shrikant Sharma,Rajkummar Rao|Wamiqa Gabbi|Raghubir Yadav|Seema Pahwa|Zakir Hussain,6.3,8,5.4262,0,"Ranjan, a small-town romantic boy from Banaras, lands a government job to marry Titli, but forgets to vow to Lord Shiva, causing him to be trapped in a time loop. A tale of love, fate, and redemption unfolds, as Ranjan tries to end the loop and get married.",Hindi,tt32058735,1301632,,hi,India,2025-05-23,2025
1230555,Detective Sherdil,Comedy|Mystery,Ravi Chhabriya,Diljit Dosanjh|Diana Penty|Boman Irani|Ratna Pathak Shah|Banita Sandhu,0.0,0,5.3041,0,"For Detective Sherdil, crime-solving is his superpower. But can his wit, intellect and street-smart instincts help him crack the murder mystery of the industrialist Pankaj Bhatti?",Hindi,tt28076316,1230555,,hi,India,2025-06-20,2025
1196943,Chhaava,History|Action|Drama,Laxman Utekar,Vicky Kaushal|Rashmika Mandanna|Akshaye Khanna|Ashutosh Rana|Divya Dutta,6.639,36,5.2381,0,"Shivaji's death sparks the Maratha-Mughal conflict. His son Sambhaji leads resistance against Aurangzeb's forces. Amid battles and intrigue, both sides face challenges in a struggle for power.",Hindi,tt27922706,1196943,,hi,India,2025-02-14,2025
360814,Dangal,Drama|Family|Comedy,Nitesh Tiwari,Aamir Khan|Fatima Sana Shaikh|Sanya Malhotra|Zaira Wasim|Suhani Bhatnagar,7.892,1044,4.8869,0,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",Hindi,tt5074352,360814,,hi,India,2016-12-21,2016
784651,Fighter,Action|Drama,Siddharth Anand,Hrithik Roshan|Deepika Padukone|Anil Kapoor|Karan Singh Grover|Sanjeeda Sheikh,6.1,132,4.7856,0,"As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons.",Hindi,tt13818368,784651,,hi,India,2024-01-24,2024
1137339,Kesari Chapter 2: The Untold Story of Jallianwala Bagh,Drama|History,Karan Singh Tyagi,Akshay Kumar|R. Madhavan|Ananya Panday|Mark Bennington|Sammy Jonas Heaney,6.778,9,4.5797,0,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre.",Hindi,tt3562110,1137339,,hi,India,2025-04-17,2025
1216780,Nadaaniyan,Romance|Comedy|Drama,Shauna Gautam,Ibrahim Ali Khan|Khushi Kapoor|Mahima Chaudhry|Suniel Shetty|Dia Mirza,5.905,42,4.5755,0,A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,Hindi,tt30422937,1216780,,hi,India,2025-03-01,2025
1083241,Baby John,Action|Drama|Thriller|Crime,Kalees,Varun Dhawan|Keerthy Suresh|Wamiqa Gabbi|Rajpal Yadav|Sheeba Chaddha,5.471,17,4.5507,0,"John's peaceful life with daughter Khushi is disrupted by a sex-trafficking gang. Revealing his past as DCP Satya, he seeks revenge for his family's murder, saving minor girls and punishing the criminals, before starting anew.",Hindi,tt27757805,1083241,,hi,India,2024-12-25,2024
1110390,Teri Baaton Mein Aisa Uljha Jiya,Romance|Comedy|Science Fiction,Aradhana Sah|Amit Joshi,Shahid Kapoor|Kriti Sanon|Dimple Kapadia|Ashish Verma|Anubha Fatehpuria,5.7,38,4.5189,0,A robotics engineer searching for his perfect partner finds himself falling in love with a human-like android.,Hindi,tt27459160,1110390,,hi,India,2024-02-09,2024
192558,Aashiqui 2,Drama|Romance,Mohit Suri,Aditya Roy Kapur|Shraddha Kapoor|Shaad Randhawa|Mahesh Thakur|Salil Acharya,6.8,165,4.4651,0,"A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.",Hindi,tt2203308,192558,,hi,India,2013-04-26,2013
11854,Kuch Kuch Hota Hai,Romance|Drama|Comedy,Karan Johar,Shah Rukh Khan|Kajol|Rani Mukerji|Sana Saeed|Farida Jalal,7.457,395,4.3361,0,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",Hindi,tt0172684,11854,,hi,India,1998-10-16,1998
585268,War,Action|Thriller|Adventure,Siddharth Anand,Hrithik Roshan|Tiger Shroff|Ashutosh Rana|Anupriya Goenka|Soni Razdan,6.761,335,4.2973,0,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.",Hindi,tt7430722,585268,,hi,India,2019-10-02,2019
1112426,Stree 2,Horror|Comedy,Amar Kaushik,Rajkummar Rao|Shraddha Kapoor|Aparshakti Khurana|Abhishek Banerjee|Pankaj Tripathi,6.754,63,4.0586,0,"Following the events of 'Stree', the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and friends to save their town and loved ones.",Hindi,tt27510174,1112426,,hi,India,2024-08-15,2024
